2026-03-29 15:06:09.048 | INFO     | Models:train_test_split:30 - Class: Catboost | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 15:06:35.772 | INFO     | Models:get_metrics:46 - Class: Catboost | RMSE train: 243177.7992
2026-03-29 15:06:35.773 | INFO     | Models:get_metrics:47 - Class: Catboost | RMSE test: 267125.8909
2026-03-29 15:06:35.773 | INFO     | Models:get_metrics:48 - Class: Catboost | MAPE train: 16.2186
2026-03-29 15:06:35.774 | INFO     | Models:get_metrics:49 - Class: Catboost | MAPE train: 15.9915
2026-03-29 15:08:46.297 | INFO     | Models:train_test_split:30 - Class: Catboost | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 15:09:02.528 | INFO     | Models:train_test_split:30 - Class: Catboost | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 15:09:25.271 | INFO     | Models:get_metrics:46 - Class: Catboost | RMSE train: 243177.7992
2026-03-29 15:09:25.271 | INFO     | Models:get_metrics:47 - Class: Catboost | RMSE test: 267125.8909
2026-03-29 15:09:25.271 | INFO     | Models:get_metrics:48 - Class: Catboost | MAPE train: 16.2186
2026-03-29 15:09:25.271 | INFO     | Models:get_metrics:49 - Class: Catboost | MAPE train: 15.9915
2026-03-29 15:14:43.563 | INFO     | Models:train_test_split:30 - Class: Catboost | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 15:15:00.021 | INFO     | Models:train_test_split:30 - Class: Catboost | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 15:15:00.021 | INFO     | Models:__log_hyperparmeters__:53 - Class: Catboost | hyperparams: {'iterations': 500, 'depth': 5, 'verbose': 100}
2026-03-29 15:15:17.327 | INFO     | Models:get_metrics:46 - Class: Catboost | RMSE train: 243177.7992
2026-03-29 15:15:17.327 | INFO     | Models:get_metrics:47 - Class: Catboost | RMSE test: 267125.8909
2026-03-29 15:15:17.327 | INFO     | Models:get_metrics:48 - Class: Catboost | MAPE train: 16.2186
2026-03-29 15:15:17.327 | INFO     | Models:get_metrics:49 - Class: Catboost | MAPE train: 15.9915
2026-03-29 15:37:50.278 | INFO     | Models:train_test_split:32 - Class: Catboost | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 15:37:50.281 | INFO     | Models:__log_hyperparmeters__:55 - Class: Catboost | hyperparams: {'iterations': 500, 'depth': 5, 'verbose': 100}
2026-03-29 15:38:08.999 | INFO     | Models:get_metrics:48 - Class: Catboost | RMSE train: 243177.7992
